round,games,winrate,pval,n_steps,loss,value_loss,entropy,mean_value,grad_norm,diverged,ret_pos,onnx_decisions
0,108,0.40741,0.97285,4564,9.5222e+05,1.2989,0.53969,-0.97452,1.4004e+06,0,10,7314
1,108,0.60185,0.017132,4523,4.0711e+05,0.52401,0.69163,0.89193,21.182,0,11,5774
2,108,0.60185,0.017132,4215,1.8999e+05,1.6489,0.15473,0.95365,11.998,0,15,4879
3,108,0.37963,0.99382,4029,2.6378e+05,1.1293,0.52745,0.91757,1.5683e+07,0,15,6358
4,108,0.5,0.5,4648,0.32513,0.60586,0.81008,-0.012348,10.839,0,8,6924
5,108,0.51852,0.35016,4556,38380,0.31343,0.53389,0.79152,19.848,0,17,6328
6,108,0.15741,1,4591,1.7067e+06,1.1256,0.1475,0.98636,798.38,0,17,6857
7,108,0.51852,0.35016,4677,16.104,0.53685,0.96377,0.84717,74704,0,5,6801
8,108,0.44444,0.87589,4797,61.038,0.817,0.63748,-0.43196,2.4296e+05,0,12,7146
9,108,0.64815,0.0010378,4657,4.1714e+05,0.77435,0.62752,-0.077942,8.5198,0,13,6916
10,108,0.64815,0.0010378,4849,0.27421,0.4385,0.71741,0.8472,62.624,0,11,6589
11,108,0.53704,0.22071,4507,3.2261e+05,1.0696,0.14914,0.24331,4.9689e+07,0,15,7175
