round,games,winrate,pval,n_steps,loss,value_loss,entropy,mean_value,grad_norm,diverged,ret_pos,onnx_decisions
0,108,0.31481,0.99994,1500,-57.028,0,0,0,0,0,430,7406
1,108,0.56481,0.088966,1496,-14.236,0,0,0,0,0,716,6309
2,108,0.44444,0.87589,1196,-84.638,0,0,0,0,0,760,6379
3,108,0.27778,1,1332,-27.717,0,0,0,0,0,791,7647
4,108,0.47222,0.71815,1479,-14.273,0,0,0,0,0,348,6433
5,108,0.42593,0.93817,1170,-35.312,0,0,0,0,0,454,7082
6,108,0.76852,1.1953e-08,1373,-25.781,0,0,0,0,0,503,5727
7,108,0.53704,0.22071,1236,-34.911,0,0,0,0,0,735,6553
8,108,0.37963,0.99382,1399,-88.413,0,0,0,0,0,435,6300
9,108,0.2963,0.99999,1281,-19.653,0,0,0,0,0,657,7379
10,108,0.81481,3.0087e-11,1606,-12.66,0,0,0,0,0,677,5614
11,108,0.5,0.5,1149,-101.12,0,0,0,0,0,644,6263
